type,title,description,image,full_image,thumbnail,text,url,main,subtitle,href,role
"type","title","description","image","full_image","thumbnail","text","url","main","subtitle","href","role"
"chapter","AFLEWO NAIROBI","AFLEWO Nairobi is the inaugural event of all AFLEWO chapters and was first held in 2004 and has birthed the rest of the chapters. It is simply referred as ‘AFLEWO’.The events have been held at CITAM Karen (formerly known as NPC Karen) since 2004 except in 2007 where it was held at Nyayo Stadium. From 2013, the event is now held at Winners’ Chapel, the largest indoor facility in East Africa.Typically held in September unless otherwise, AFLEWO Nairobi has experienced tremendous growth and is now the largest worship event in Kenya bringing together a crowd of more than 15,000 people at once.","https://aflewo.org/images/icons-big/08.png","","","","","","","",""
"chapter","AFLEWO NAKURU","AFLEWO Nakuru was birthed in 2013. The team was part of the 1,000 voice choir drawn from all chapters at the AFLEWO 2013 national event.Just like all AFLEWO chapters, the choir is drawn from different denominations.The team held their first event in Nakuru in August 2014 at Deliverance Church, Nakuru.The event was attended by more than 2,000 people. The chapter continues to grow.","https://aflewo.org/images/icons-big/07.png","","","","","","","",""
"chapter","AFLEWO MOMBASA","AFLEWO Mombasa was first held in 2009 at the beautiful Elim Sanctuary in Makupa. The first event was hosted by AFLEWO Nairobi team assisted with the Mombasa team.AFLEWO Mombasa has been credited with uniting the church in Mombasa by bringing together a choir from different denominations.The event is typically held in September at the Elim Church and is attended by more than 5,000 every year.","https://aflewo.org/images/icons-big/03.png","","","","","","","",""
"chapter","AFLEWO NYERI","AFLEWO Nyeri was founded in 2010 and the first event was held at PCEA Nyamachaki in October 2010.The event has steadily grown and is attended by over 2,000 people from the town of Nyeri.The event is supported by the pastors’ fellowship in Nyeri.","https://aflewo.org/images/icons-big/06.png","","","","","","","",""
"chapter","AFLEWO TANZANIA","AFLEWO Tanzania was founded in 2010 and held its first event in April 2011 at Aga Khan Diamond Hall in Dar-es-Salaam.The event was a huge success drawing a crowd of more than 4,000 people.The event has continued to grow and has held 3 more events at CCC Upanga church.Also known as AFLEWO Dar, AFLEWO Tanzania was the first international event for AFLEWO.","https://aflewo.org/images/icons-big/09.png","","","","","","","",""
"chapter","AFLEWO Rwanda","AFLEWO Rwanda also known as AFLEWO Kigali was founded in 2011 and was first held at CLA, Nyarutarama in November 2011.It brought together a choir from different denominations in Kigali.AFLEWO Kigali held its second event in March 2014 as part of the country’s 20 year commemoration of the genocide. The theme was healing and reconciliation.","https://aflewo.org/images/icons-big/09.png","","","","","","","",""
"chapter","AFLEWO MERU","AFLEWO Meru was founded in 2012 and held its first event at Gikumene High School on 20th April, 2012.AFLEWO Meru choir was also part of the AFLEWO 2013 1000 voice choir held at Winners’ Chapel on the eve of Kenya’s Independence Day to commemorate 50 years of independence.The chapter continues to grow and held its second event in September, 2014 at KEMU Chapel.","https://aflewo.org/images/icons-big/05.png","","","","","","","",""
"gallery_image","OUR JOY","","","https://aflewo.org/images/showcase/full/01.jpg","https://aflewo.org/images/showcase/thumbs/01.jpg","","","","","",""
